candidate_id,rank,score,reasoning
CAND_0018499,1,5.243287086486816,"Experienced Senior Machine Learning Engineer with 7.2 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably RAG, Embeddings, Learning to Rank. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 15-day notice period."
CAND_0027691,2,5.243287086486816,"Experienced NLP Engineer with 6.5 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably Embeddings, Learning to Rank, TensorFlow. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 15-day notice period."
CAND_0003717,3,5.236915111541748,"Brings 7.9 years of engineering experience, currently working as Software Engineer at Infosys. Offers strong backend core capabilities with adaptable software design skills. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0003724,4,5.236915111541748,"Experienced Frontend Engineer with 7.6 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably Embeddings. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0004034,5,5.236915111541748,"Demonstrates a solid 8.6-year background in software engineering, with recent work as Customer Support. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0005508,6,5.236915111541748,"Brings 8.4 years of engineering experience, currently working as HR Manager at Acme Corp. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0005558,7,5.236915111541748,"Demonstrates a solid 7.6-year background in software engineering, with recent work as Backend Engineer. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0005910,8,5.236915111541748,"Brings 6.4 years of engineering experience, currently working as Cloud Engineer at Mindtree. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0007480,9,5.236915111541748,"Experienced Mechanical Engineer with 7.1 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0009276,10,5.236915111541748,"Brings 6.9 years of engineering experience, currently working as Business Analyst at Dunder Mifflin. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0011428,11,5.236915111541748,"Experienced Java Developer with 5.0 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably Learning to Rank. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0011525,12,5.236915111541748,"Demonstrates a solid 5.0-year background in software engineering, with recent work as DevOps Engineer. Offers strong backend core capabilities with adaptable software design skills. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0012524,13,5.236915111541748,"Demonstrates a solid 5.7-year background in software engineering, with recent work as Sales Executive. Possesses key technical skills required for our Founding AI role, notably PostgreSQL. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0012714,14,5.236915111541748,"Brings 5.9 years of engineering experience, currently working as Operations Manager at Stark Industries. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0012888,15,5.236915111541748,"Brings 6.4 years of engineering experience, currently working as Junior ML Engineer at Genpact AI. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0013097,16,5.236915111541748,"Demonstrates a solid 6.3-year background in software engineering, with recent work as Senior Software Engineer. Offers strong backend core capabilities with adaptable software design skills. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0014267,17,5.236915111541748,"Demonstrates a solid 5.7-year background in software engineering, with recent work as Accountant. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0017177,18,5.236915111541748,"Demonstrates a solid 6.9-year background in software engineering, with recent work as DevOps Engineer. Offers strong backend core capabilities with adaptable software design skills. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0017368,19,5.236915111541748,"Experienced Business Analyst with 6.7 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably PostgreSQL. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0017646,20,5.236915111541748,"Brings 7.8 years of engineering experience, currently working as Java Developer at Acme Corp. Possesses key technical skills required for our Founding AI role, notably PyTorch. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0019288,21,5.236915111541748,"Experienced AI Research Engineer with 5.7 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably TensorFlow, NLP. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0019880,22,5.236915111541748,"Demonstrates a solid 5.7-year background in software engineering, with recent work as AI Specialist. Possesses key technical skills required for our Founding AI role, notably Embeddings, NLP. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0020721,23,5.236915111541748,"Brings 6.9 years of engineering experience, currently working as Data Engineer at Capgemini. Possesses key technical skills required for our Founding AI role, notably Embeddings. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0023387,24,5.236915111541748,"Demonstrates a solid 6.9-year background in software engineering, with recent work as Backend Engineer. Offers strong backend core capabilities with adaptable software design skills. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0024162,25,5.236915111541748,"Brings 6.0 years of engineering experience, currently working as Accountant at Acme Corp. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0029614,26,5.236915111541748,"Experienced Backend Engineer with 5.3 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0029816,27,5.236915111541748,"Demonstrates a solid 5.1-year background in software engineering, with recent work as HR Manager. Offers strong backend core capabilities with adaptable software design skills. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0030313,28,5.236915111541748,"Experienced HR Manager with 6.7 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0032365,29,5.236915111541748,"Experienced Cloud Engineer with 6.5 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0033179,30,5.236915111541748,"Demonstrates a solid 6.9-year background in software engineering, with recent work as AI Research Engineer. Possesses key technical skills required for our Founding AI role, notably PyTorch. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0033323,31,5.236915111541748,"Demonstrates a solid 7.1-year background in software engineering, with recent work as Software Engineer. Offers strong backend core capabilities with adaptable software design skills. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0037241,32,5.236915111541748,"Demonstrates a solid 8.0-year background in software engineering, with recent work as Civil Engineer. Offers strong backend core capabilities with adaptable software design skills. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0038402,33,5.236915111541748,"Demonstrates a solid 6.5-year background in software engineering, with recent work as QA Engineer. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0040137,34,5.236915111541748,"Brings 5.9 years of engineering experience, currently working as Business Analyst at Dunder Mifflin. Offers strong backend core capabilities with adaptable software design skills. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0040410,35,5.236915111541748,"Brings 8.6 years of engineering experience, currently working as Java Developer at Mphasis. Offers strong backend core capabilities with adaptable software design skills. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0042553,36,5.236915111541748,"Experienced Software Engineer with 8.5 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0043495,37,5.236915111541748,"Experienced Mobile Developer with 7.1 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably Python. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0043676,38,5.236915111541748,"Demonstrates a solid 6.1-year background in software engineering, with recent work as Senior Software Engineer (ML). Possesses key technical skills required for our Founding AI role, notably TensorFlow. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0044378,39,5.236915111541748,"Demonstrates a solid 6.6-year background in software engineering, with recent work as Senior Data Engineer. Possesses key technical skills required for our Founding AI role, notably RAG. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0045532,40,5.236915111541748,"Experienced Business Analyst with 8.1 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0045544,41,5.236915111541748,"Experienced QA Engineer with 8.8 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably PostgreSQL. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0046386,42,5.236915111541748,"Brings 7.2 years of engineering experience, currently working as Java Developer at Globex Inc. Possesses key technical skills required for our Founding AI role, notably TensorFlow. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0047407,43,5.236915111541748,"Experienced HR Manager with 5.2 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0048558,44,5.236915111541748,"Brings 6.7 years of engineering experience, currently working as Data Scientist at Rephrase.ai. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0048971,45,5.236915111541748,"Demonstrates a solid 6.5-year background in software engineering, with recent work as Software Engineer. Possesses key technical skills required for our Founding AI role, notably PostgreSQL. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0050076,46,5.236915111541748,"Brings 7.2 years of engineering experience, currently working as Java Developer at Mphasis. Possesses key technical skills required for our Founding AI role, notably Python. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0050196,47,5.236915111541748,"Brings 5.7 years of engineering experience, currently working as HR Manager at Hooli. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0052195,48,5.236915111541748,"Experienced Computer Vision Engineer with 6.3 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably NLP. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0053322,49,5.236915111541748,"Brings 5.7 years of engineering experience, currently working as Business Analyst at Wayne Enterprises. Offers strong backend core capabilities with adaptable software design skills. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0053589,50,5.236915111541748,"Brings 8.9 years of engineering experience, currently working as Marketing Manager at Dunder Mifflin. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0056264,51,5.236915111541748,"Demonstrates a solid 6.5-year background in software engineering, with recent work as Backend Engineer. Possesses key technical skills required for our Founding AI role, notably Learning to Rank. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0057188,52,5.236915111541748,"Demonstrates a solid 8.5-year background in software engineering, with recent work as Full Stack Developer. Possesses key technical skills required for our Founding AI role, notably TensorFlow. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0057308,53,5.236915111541748,"Demonstrates a solid 5.6-year background in software engineering, with recent work as Mechanical Engineer. Offers strong backend core capabilities with adaptable software design skills. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0059810,54,5.236915111541748,"Demonstrates a solid 8.9-year background in software engineering, with recent work as Civil Engineer. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0060392,55,5.236915111541748,"Demonstrates a solid 5.2-year background in software engineering, with recent work as Backend Engineer. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0060729,56,5.236915111541748,"Brings 6.4 years of engineering experience, currently working as Customer Support at Pied Piper. Offers strong backend core capabilities with adaptable software design skills. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0060889,57,5.236915111541748,"Experienced Customer Support with 6.5 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0061257,58,5.236915111541748,"Brings 8.0 years of engineering experience, currently working as Staff Machine Learning Engineer at LinkedIn. Possesses key technical skills required for our Founding AI role, notably Python. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0061614,59,5.236915111541748,"Brings 8.2 years of engineering experience, currently working as Full Stack Developer at Razorpay. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0063027,60,5.236915111541748,"Brings 6.6 years of engineering experience, currently working as HR Manager at Wayne Enterprises. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0063622,61,5.236915111541748,"Experienced Computer Vision Engineer with 5.2 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably NLP, Learning to Rank. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0064409,62,5.236915111541748,"Demonstrates a solid 6.4-year background in software engineering, with recent work as DevOps Engineer. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0066160,63,5.236915111541748,"Experienced Full Stack Developer with 8.2 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0066330,64,5.236915111541748,"Brings 8.4 years of engineering experience, currently working as Sales Executive at Wipro. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0066999,65,5.236915111541748,"Brings 5.9 years of engineering experience, currently working as Recommendation Systems Engineer at Microsoft. Possesses key technical skills required for our Founding AI role, notably Embeddings. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 15-day notice period."
CAND_0068809,66,5.236915111541748,"Experienced Software Engineer with 8.4 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0068932,67,5.236915111541748,"Experienced ML Engineer with 5.2 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably RAG. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0069476,68,5.236915111541748,"Demonstrates a solid 6.9-year background in software engineering, with recent work as Full Stack Developer. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0069638,69,5.236915111541748,"Demonstrates a solid 6.2-year background in software engineering, with recent work as Computer Vision Engineer. Possesses key technical skills required for our Founding AI role, notably PyTorch. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0069987,70,5.236915111541748,"Brings 8.3 years of engineering experience, currently working as HR Manager at Initech. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0070896,71,5.236915111541748,"Brings 8.8 years of engineering experience, currently working as Java Developer at Initech. Possesses key technical skills required for our Founding AI role, notably PyTorch. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0073740,72,5.236915111541748,"Brings 8.7 years of engineering experience, currently working as Software Engineer at Tech Mahindra. Possesses key technical skills required for our Founding AI role, notably PostgreSQL. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0074577,73,5.236915111541748,"Brings 8.5 years of engineering experience, currently working as Sales Executive at Pied Piper. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0076283,74,5.236915111541748,"Demonstrates a solid 5.7-year background in software engineering, with recent work as Sales Executive. Offers strong backend core capabilities with adaptable software design skills. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0077488,75,5.236915111541748,"Experienced Data Analyst with 6.6 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably NLP, PostgreSQL. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0078026,76,5.236915111541748,"Demonstrates a solid 6.2-year background in software engineering, with recent work as Mobile Developer. Possesses key technical skills required for our Founding AI role, notably PyTorch. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0078309,77,5.236915111541748,"Brings 5.2 years of engineering experience, currently working as Java Developer at Accenture. Offers strong backend core capabilities with adaptable software design skills. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0079764,78,5.236915111541748,"Brings 8.9 years of engineering experience, currently working as Customer Support at Pied Piper. Possesses key technical skills required for our Founding AI role, notably RAG, Embeddings. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0080488,79,5.236915111541748,"Experienced QA Engineer with 7.3 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0080577,80,5.236915111541748,"Brings 5.4 years of engineering experience, currently working as Full Stack Developer at Hooli. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0082574,81,5.236915111541748,"Demonstrates a solid 8.1-year background in software engineering, with recent work as Customer Support. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0082579,82,5.236915111541748,"Experienced Software Engineer with 6.5 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably PostgreSQL. Willing to relocate to Noida or Pune. Highly active and available with a short 30-day notice period."
CAND_0083482,83,5.236915111541748,"Experienced Cloud Engineer with 7.8 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0083629,84,5.236915111541748,"Experienced HR Manager with 8.0 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0083910,85,5.236915111541748,"Brings 5.1 years of engineering experience, currently working as Software Engineer at CRED. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0084871,86,5.236915111541748,"Experienced Civil Engineer with 5.2 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0086022,87,5.236915111541748,"Brings 5.3 years of engineering experience, currently working as Senior Applied Scientist at Sarvam AI. Possesses key technical skills required for our Founding AI role, notably Embeddings, PyTorch, TensorFlow. Willing to relocate to Noida or Pune. Highly active and available with a short 0-day notice period."
CAND_0086171,88,5.236915111541748,"Demonstrates a solid 7.3-year background in software engineering, with recent work as HR Manager. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0087007,89,5.236915111541748,"Experienced Graphic Designer with 7.9 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0087228,90,5.236915111541748,"Brings 6.5 years of engineering experience, currently working as Software Engineer at Mindtree. Possesses key technical skills required for our Founding AI role, notably PyTorch. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0087540,91,5.236915111541748,"Brings 8.0 years of engineering experience, currently working as Software Engineer at TCS. Possesses key technical skills required for our Founding AI role, notably RAG, Learning to Rank. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0088126,92,5.236915111541748,"Experienced Mechanical Engineer with 6.0 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0091856,93,5.236915111541748,"Demonstrates a solid 6.7-year background in software engineering, with recent work as Marketing Manager. Possesses key technical skills required for our Founding AI role, notably PostgreSQL. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0096104,94,5.236915111541748,"Demonstrates a solid 7.0-year background in software engineering, with recent work as AI Specialist. Offers strong backend core capabilities with adaptable software design skills. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0097176,95,5.236915111541748,"Brings 5.9 years of engineering experience, currently working as ML Engineer at TCS. Possesses key technical skills required for our Founding AI role, notably PyTorch. Located in Gurgaon, Haryana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0010807,96,5.23551607131958,"Experienced QA Engineer with 5.8 years of tenure in product development. Possesses key technical skills required for our Founding AI role, notably PostgreSQL. Located in Delhi, Delhi, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0034140,97,5.23551607131958,"Brings 7.3 years of engineering experience, currently working as Sales Executive at TCS. Offers strong backend core capabilities with adaptable software design skills. Located in Pune, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0034467,98,5.23551607131958,"Brings 6.9 years of engineering experience, currently working as Operations Manager at Globex Inc. Offers strong backend core capabilities with adaptable software design skills. Located in Mumbai, Maharashtra, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0064173,99,5.23551607131958,"Brings 7.6 years of engineering experience, currently working as Full Stack Developer at TCS. Offers strong backend core capabilities with adaptable software design skills. Located in Noida, Uttar Pradesh, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
CAND_0078166,100,5.23551607131958,"Experienced Sales Executive with 5.6 years of tenure in product development. Offers strong backend core capabilities with adaptable software design skills. Located in Hyderabad, Telangana, which perfectly aligns with our hybrid cadence. Highly active and available with a short 30-day notice period."
